epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4676,0.87084,2.47878,1.31112,0.00496,0.93333,0.54589,0.33081,1.01096,3.08339,1.48592,0.00062,0.00062,0.00062
2,95.5578,1.0648,1.97605,1.39708,0.43082,0.33333,0.35607,0.1289,1.64849,3.05681,2.56932,0.00124753,0.00124753,0.00124753
3,141.439,1.14276,1.90285,1.4646,0.44708,0.13333,0.14533,0.07051,1.25504,3.54395,1.78258,0.00186238,0.00186238,0.00186238
4,187.863,1.16076,1.87418,1.43917,0.13745,0.53333,0.16432,0.05334,1.83139,3.62176,2.38097,0.0019406,0.0019406,0.0019406
5,234.274,1.23286,1.83321,1.54495,0.5881,0.4,0.48891,0.25786,1.19828,2.79812,2.10681,0.0019208,0.0019208,0.0019208
6,280.563,1.16071,1.74168,1.53176,0.42214,0.53333,0.45712,0.26918,1.18061,2.37525,1.87017,0.001901,0.001901,0.001901
7,326.954,1.15227,1.66433,1.50414,0.27414,0.4,0.27082,0.12674,1.29992,4.10734,1.9647,0.0018812,0.0018812,0.0018812
8,373.238,1.0913,1.73278,1.39905,0.39676,0.53333,0.36983,0.19318,1.19414,4.12528,1.77486,0.0018614,0.0018614,0.0018614
9,419.454,1.09226,1.46352,1.42307,0.58741,0.8547,0.7366,0.37135,1.08703,2.11786,1.61723,0.0018416,0.0018416,0.0018416
10,464.337,1.16552,1.54675,1.47422,0.47947,0.86667,0.71299,0.37512,1.11125,1.68375,1.68245,0.0018218,0.0018218,0.0018218
11,509.297,1.04077,1.37103,1.39074,0.61821,0.66667,0.73552,0.38237,1.11484,1.90658,1.63511,0.001802,0.001802,0.001802
12,554.296,1.06835,1.40872,1.41077,0.62228,0.65941,0.58088,0.30757,1.20995,2.35388,1.73144,0.0017822,0.0017822,0.0017822
13,599.502,1.10763,1.45852,1.4385,0.3351,0.66667,0.42399,0.25637,1.85903,2.58678,2.25651,0.0017624,0.0017624,0.0017624
14,644.532,1.07454,1.31132,1.39719,0.58793,0.86667,0.77414,0.43029,1.07037,1.28378,1.51086,0.0017426,0.0017426,0.0017426
15,689.439,1.03654,1.20686,1.33664,0.81893,0.90555,0.87815,0.52182,1.01523,1.22793,1.53559,0.0017228,0.0017228,0.0017228
16,734.767,1.02721,1.20057,1.36141,0.86643,0.865,0.93146,0.61706,1.03256,1.11732,1.65873,0.001703,0.001703,0.001703
17,779.709,0.94853,1.32231,1.29621,0.93087,1,0.9825,0.70387,0.81491,0.81869,1.29847,0.0016832,0.0016832,0.0016832
