epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1975,0.6472,1.77119,1.19933,0.82376,0.83471,0.81616,0.2518,2.2913,2.78887,2.9244,0.000655738,0.000655738,0.000655738
2,36.4626,0.56897,0.93786,1.11425,0.47225,0.51786,0.42069,0.11896,2.20899,6.05814,2.90917,0.00130931,0.00130931,0.00130931
3,49.6523,0.56689,0.83479,1.10943,0.392,0.66071,0.38725,0.21274,1.07937,2.25594,1.77288,0.00194969,0.00194969,0.00194969
4,62.8259,0.56798,0.78056,1.12615,0.11306,0.30357,0.05468,0.01033,3.68293,3.14656,4.46644,0.0019406,0.0019406,0.0019406
5,76.4344,0.60521,0.76638,1.14018,0.28809,0.55357,0.24943,0.10095,1.57942,2.17868,2.16715,0.0019208,0.0019208,0.0019208
6,89.7371,0.52269,0.66168,1.0893,0.85129,0.85714,0.84812,0.56152,0.88907,1.25995,1.47996,0.001901,0.001901,0.001901
7,103.09,0.53938,0.60633,1.10192,0.52524,0.71429,0.63382,0.29505,1.25784,1.99577,1.87418,0.0018812,0.0018812,0.0018812
8,116.726,0.55853,0.61579,1.10912,0.41943,0.71429,0.43584,0.2611,0.91986,1.6481,1.36612,0.0018614,0.0018614,0.0018614
9,130.497,0.47101,0.5178,1.04506,0.46621,0.78571,0.50589,0.23476,1.27527,1.72699,1.6196,0.0018416,0.0018416,0.0018416
10,146.783,0.46352,0.5096,1.04503,0.43464,0.7963,0.47517,0.29358,0.87236,1.64714,1.28913,0.0018218,0.0018218,0.0018218
11,162.294,0.45025,0.4739,1.03393,0.51145,0.82254,0.60937,0.25674,1.04737,1.74778,1.24658,0.001802,0.001802,0.001802
12,177.586,0.4817,0.50173,1.04693,0.4262,0.53571,0.38199,0.225,0.91147,1.722,1.38708,0.0017822,0.0017822,0.0017822
13,192.767,0.47469,0.52046,1.05092,0.61137,0.76786,0.67004,0.46926,0.78085,1.30426,1.35184,0.0017624,0.0017624,0.0017624
14,207.805,0.44879,0.46203,1.031,0.69485,0.8946,0.68978,0.44285,0.88362,1.2322,1.24083,0.0017426,0.0017426,0.0017426
15,223.443,0.42602,0.43699,1.02474,0.69142,0.96429,0.70945,0.4484,0.84085,1.34712,1.21517,0.0017228,0.0017228,0.0017228
16,238.748,0.44856,0.46134,1.03169,0.88514,0.92857,0.89188,0.69,0.65619,0.84152,1.05738,0.001703,0.001703,0.001703
17,254.191,0.4432,0.42485,1.02819,0.74164,0.89286,0.84128,0.62966,0.71126,0.88984,1.15217,0.0016832,0.0016832,0.0016832
18,269.426,0.43095,0.41615,1.01905,0.68154,0.92857,0.76378,0.46867,0.80639,1.13952,1.22252,0.0016634,0.0016634,0.0016634
19,284.642,0.42623,0.42251,1.00623,0.6463,0.89286,0.68585,0.50193,0.77658,1.21457,1.2724,0.0016436,0.0016436,0.0016436
20,299.974,0.39814,0.39222,0.99518,0.78696,0.94643,0.80632,0.55056,0.66054,0.94,1.0475,0.0016238,0.0016238,0.0016238
21,315.316,0.37631,0.37934,0.99555,0.92677,0.96429,0.97099,0.80647,0.58886,0.64106,0.94266,0.001604,0.001604,0.001604
22,330.244,0.38422,0.37471,0.9979,0.79011,0.94116,0.80011,0.64798,0.583,0.72102,0.94839,0.0015842,0.0015842,0.0015842
23,345.376,0.37508,0.34988,0.98789,0.82391,0.91912,0.8403,0.62019,0.67276,0.74187,1.02645,0.0015644,0.0015644,0.0015644
24,360.341,0.42075,0.38353,1.00488,0.93343,0.89286,0.93433,0.72753,0.71526,0.92485,1.05062,0.0015446,0.0015446,0.0015446
25,375.208,0.36371,0.34031,0.97845,0.8381,0.94643,0.83509,0.623,0.69881,0.99032,1.17539,0.0015248,0.0015248,0.0015248
26,389.895,0.36725,0.35101,0.98609,0.79887,0.94643,0.88557,0.59475,0.78847,0.91704,1.19168,0.001505,0.001505,0.001505
27,404.828,0.37218,0.36462,0.99106,0.73091,0.92857,0.75167,0.60153,0.61312,0.81746,0.99142,0.0014852,0.0014852,0.0014852
28,419.439,0.35381,0.3354,0.96498,0.652,0.76786,0.75408,0.58102,0.69829,1.08116,1.02234,0.0014654,0.0014654,0.0014654
29,434.244,0.38562,0.35279,0.99532,0.81522,0.91071,0.84389,0.7018,0.70305,0.80134,1.05749,0.0014456,0.0014456,0.0014456
30,448.959,0.36018,0.31918,0.98903,0.65691,0.89286,0.73181,0.56696,0.76135,0.99392,1.14632,0.0014258,0.0014258,0.0014258
31,463.776,0.37678,0.34745,0.99437,0.74431,0.83929,0.88682,0.69261,0.67936,0.95218,0.91506,0.001406,0.001406,0.001406
32,478.497,0.36536,0.34247,0.97214,0.67014,0.96429,0.73326,0.51755,0.72633,1.03933,1.1641,0.0013862,0.0013862,0.0013862
33,493.353,0.35128,0.31924,0.97177,0.94203,0.96429,0.97644,0.79242,0.5511,0.79518,0.93505,0.0013664,0.0013664,0.0013664
34,507.894,0.36915,0.34352,0.98394,0.89309,0.96429,0.93574,0.77681,0.53812,0.58515,0.88929,0.0013466,0.0013466,0.0013466
35,522.81,0.356,0.32366,0.97254,0.92989,0.96429,0.9834,0.7572,0.62955,0.58464,0.872,0.0013268,0.0013268,0.0013268
36,537.356,0.3549,0.32015,0.97377,0.84511,0.94643,0.92008,0.74886,0.56958,0.58041,0.84739,0.001307,0.001307,0.001307
37,552.038,0.34715,0.31651,0.96388,0.94797,0.9761,0.97127,0.79888,0.58545,0.64338,0.91042,0.0012872,0.0012872,0.0012872
38,566.766,0.3599,0.31748,0.9726,0.90054,0.97021,0.95276,0.7685,0.53106,0.65536,0.86622,0.0012674,0.0012674,0.0012674
39,581.559,0.33841,0.3054,0.96268,0.90512,0.96429,0.97004,0.76577,0.61197,0.65762,1.01907,0.0012476,0.0012476,0.0012476
40,596.258,0.33552,0.32121,0.9628,0.89752,0.96429,0.94896,0.58845,0.63118,0.8288,0.86853,0.0012278,0.0012278,0.0012278
41,611.078,0.35184,0.32007,0.97468,0.89369,0.90076,0.91051,0.70399,0.70503,1.34483,1.10005,0.001208,0.001208,0.001208
