epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9902,0.7738,1.70313,1.19073,0.86489,0.80025,0.91515,0.75833,0.66503,2.40338,1.17558,0.000656716,0.000656716,0.000656716
2,79.3188,0.75003,1.08208,1.12412,0.80965,0.83929,0.90099,0.73392,0.6907,2.41757,1.2219,0.00131028,0.00131028,0.00131028
3,106.844,0.73595,0.97428,1.11088,0.96906,0.91071,0.95374,0.72549,0.88469,1.55784,1.44267,0.00195065,0.00195065,0.00195065
4,135.202,0.77601,0.89692,1.13434,0.86856,0.98214,0.93639,0.71815,0.72438,1.0936,1.20577,0.0019406,0.0019406,0.0019406
5,162.979,0.71532,0.78331,1.10613,0.93838,0.91071,0.97569,0.81351,0.70551,0.96194,1.20958,0.0019208,0.0019208,0.0019208
6,188.184,0.66703,0.72279,1.06202,0.98152,0.94865,0.98967,0.87161,0.5185,0.69159,0.96399,0.001901,0.001901,0.001901
7,215.514,0.69124,0.68717,1.06207,0.89238,0.85714,0.93825,0.72514,0.79424,0.87327,1.21215,0.0018812,0.0018812,0.0018812
8,242.583,0.62604,0.59145,1.05732,0.99784,1,0.995,0.90891,0.39973,0.45449,0.92286,0.0018614,0.0018614,0.0018614
9,268.713,0.59592,0.53558,1.03265,0.94325,0.92857,0.97022,0.83079,0.53406,0.64328,1.04275,0.0018416,0.0018416,0.0018416
10,294.302,0.58062,0.51758,1.0196,1,0.99581,0.995,0.89741,0.45118,0.40232,0.93943,0.0018218,0.0018218,0.0018218
11,321.798,0.58966,0.5055,1.02248,0.98815,0.96429,0.99447,0.87333,0.48433,0.42343,0.96422,0.001802,0.001802,0.001802
12,347.332,0.53864,0.47784,1.00343,0.96224,0.91019,0.95078,0.84682,0.4735,0.52733,0.9934,0.0017822,0.0017822,0.0017822
13,374.146,0.55624,0.47534,1.0099,0.96097,0.89286,0.95355,0.86593,0.42064,0.54405,0.9213,0.0017624,0.0017624,0.0017624
14,400.66,0.54184,0.47318,1.00947,0.91175,0.94643,0.97663,0.91049,0.40039,0.46479,0.92708,0.0017426,0.0017426,0.0017426
15,426.42,0.51326,0.44442,0.99745,0.94393,0.91071,0.96666,0.87242,0.41649,0.42886,0.93766,0.0017228,0.0017228,0.0017228
