epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1043,0.87107,2.48181,1.31861,0.00294,1,0.73719,0.44728,1.05929,3.07544,1.6013,0.00062,0.00062,0.00062
2,101.41,1.07719,1.95276,1.41334,0.9253,0.6,0.68774,0.29865,1.33238,2.56321,2.24729,0.00124753,0.00124753,0.00124753
3,148.837,1.13297,1.86987,1.44768,0.62325,0.66667,0.51338,0.26471,1.29005,2.53877,2.04957,0.00186238,0.00186238,0.00186238
4,195.975,1.17306,1.8321,1.46106,0.20217,0.46667,0.19408,0.06798,1.74538,5.17721,2.07229,0.0019406,0.0019406,0.0019406
5,253.593,1.22053,1.82385,1.55602,0.00392,0.53333,0.0035,0.00165,3.10484,47.3182,3.47133,0.0019208,0.0019208,0.0019208
6,300.652,1.15381,1.71749,1.496,0.03179,0.66667,0.03182,0.0158,1.14977,10.9112,1.78618,0.001901,0.001901,0.001901
7,347.951,1.20132,1.66612,1.51923,0.6848,0.86916,0.81767,0.3908,1.44619,2.22676,1.92664,0.0018812,0.0018812,0.0018812
8,393.793,1.09489,1.74521,1.3776,0.3614,0.6038,0.39221,0.21886,1.27307,3.52235,1.92803,0.0018614,0.0018614,0.0018614
9,440.562,1.14238,1.5089,1.45431,0.67985,0.73333,0.79696,0.43765,1.04274,2.11581,1.5024,0.0018416,0.0018416,0.0018416
10,487.674,1.17608,1.50984,1.46435,0.45843,0.73333,0.57128,0.33697,1.09316,1.92931,1.55577,0.0018218,0.0018218,0.0018218
11,534.94,1.08603,1.35436,1.41442,0.92697,0.86667,0.8961,0.51567,1.00342,1.35289,1.45068,0.001802,0.001802,0.001802
12,584.224,1.06378,1.39812,1.40266,0.76625,0.73333,0.7637,0.45382,1.11149,1.38481,1.49492,0.0017822,0.0017822,0.0017822
13,633.562,1.04596,1.3504,1.39995,0.60313,0.71006,0.69582,0.31639,1.25933,2.43207,1.71809,0.0017624,0.0017624,0.0017624
14,682.469,1.10753,1.31619,1.43,0.80312,0.6,0.74923,0.40047,1.68806,2.26572,2.10991,0.0017426,0.0017426,0.0017426
15,730.489,1.05369,1.18672,1.35063,0.48007,0.86667,0.54073,0.34258,0.83953,1.86893,1.34929,0.0017228,0.0017228,0.0017228
16,777.851,1.0012,1.18146,1.33759,0.75323,0.86667,0.7654,0.54303,0.9221,1.07177,1.30568,0.001703,0.001703,0.001703
17,824.923,0.96026,1.30912,1.28357,0.93112,0.93333,0.97413,0.62425,0.87975,0.89422,1.32253,0.0016832,0.0016832,0.0016832
18,872.717,1.00748,1.28324,1.33239,0.84209,0.73333,0.80475,0.55279,0.86439,0.9677,1.30459,0.0016634,0.0016634,0.0016634
19,920.324,1.06099,1.22945,1.37114,0.57729,0.93333,0.78609,0.50972,0.97109,1.10432,1.35784,0.0016436,0.0016436,0.0016436
20,968.443,0.99222,1.10979,1.32528,0.56064,0.86667,0.74609,0.43034,1.02238,1.25123,1.55319,0.0016238,0.0016238,0.0016238
21,1016.26,0.93655,1.05412,1.30838,0.73384,0.86667,0.84168,0.47575,1.04198,1.24546,1.50486,0.001604,0.001604,0.001604
22,1063.71,0.9512,1.07098,1.3188,0.78512,0.97518,0.85513,0.55462,0.96566,0.94776,1.37703,0.0015842,0.0015842,0.0015842
23,1111.99,0.88495,0.94764,1.22963,0.69945,0.86667,0.81745,0.45098,1.09802,0.95372,1.58044,0.0015644,0.0015644,0.0015644
24,1160.09,1.00553,1.07449,1.33152,0.68401,0.93333,0.85463,0.62671,0.9262,0.88786,1.41256,0.0015446,0.0015446,0.0015446
25,1206.98,0.91198,1.02073,1.29104,0.80957,0.85104,0.8772,0.63638,0.70991,0.74766,1.21861,0.0015248,0.0015248,0.0015248
26,1254.25,0.87786,0.9642,1.25567,0.73794,1,0.88164,0.62565,0.75045,0.81747,1.20486,0.001505,0.001505,0.001505
27,1301.18,0.86116,0.93455,1.25806,1,0.78554,0.93467,0.68539,0.67436,0.68134,1.15612,0.0014852,0.0014852,0.0014852
28,1348.33,0.87481,0.93415,1.24339,0.97935,0.73333,0.89198,0.65061,0.96968,0.80981,1.36653,0.0014654,0.0014654,0.0014654
29,1395.93,0.82478,0.8709,1.22085,0.81022,0.93333,0.93798,0.61203,1.15463,0.76873,1.61628,0.0014456,0.0014456,0.0014456
30,1443.61,0.86831,0.92921,1.2521,0.91869,0.75434,0.93098,0.71337,1.01286,0.69591,1.58406,0.0014258,0.0014258,0.0014258
31,1493.84,0.86586,0.94438,1.25652,0.92238,0.8,0.87962,0.65607,1.14291,0.82065,1.64009,0.001406,0.001406,0.001406
32,1545.41,0.80388,0.99058,1.21695,0.98847,0.8,0.91726,0.6688,0.91858,0.66126,1.50188,0.0013862,0.0013862,0.0013862
33,1594.57,0.80217,0.84589,1.20123,0.87438,0.9284,0.91925,0.62877,0.67514,0.75042,1.23031,0.0013664,0.0013664,0.0013664
34,1643.62,0.79894,0.83838,1.18113,0.86807,0.87791,0.93237,0.65585,0.78131,0.68019,1.27963,0.0013466,0.0013466,0.0013466
35,1692.2,0.77608,0.80594,1.16224,0.7137,0.86667,0.87904,0.59802,0.7936,0.82233,1.29638,0.0013268,0.0013268,0.0013268
36,1740.61,0.71886,1.0118,1.12076,0.74093,0.8,0.85822,0.53181,0.85759,0.98764,1.31825,0.001307,0.001307,0.001307
37,1789.79,0.776,0.79313,1.16121,0.73254,0.93333,0.91954,0.67994,0.70341,0.6825,1.21552,0.0012872,0.0012872,0.0012872
38,1838.6,0.76424,0.76618,1.14697,0.88102,0.66667,0.85758,0.59527,0.74737,0.93739,1.23286,0.0012674,0.0012674,0.0012674
39,1887.67,0.68854,0.72548,1.12008,0.91689,0.86667,0.92376,0.68637,0.6288,0.69379,1.14215,0.0012476,0.0012476,0.0012476
40,1936.6,0.72254,0.71073,1.13803,0.86874,0.93333,0.91975,0.6646,0.69313,0.66647,1.19539,0.0012278,0.0012278,0.0012278
41,1985.7,0.72542,0.74676,1.12678,0.91972,0.86667,0.90062,0.63747,0.86091,0.72785,1.2746,0.001208,0.001208,0.001208
42,2034.91,0.72897,0.74954,1.14115,0.83279,0.8,0.93462,0.67264,0.85938,0.6147,1.38706,0.0011882,0.0011882,0.0011882
43,2084.36,0.70463,0.723,1.13854,0.87496,0.933,0.9675,0.74534,0.79801,0.51025,1.36226,0.0011684,0.0011684,0.0011684
44,2133.9,0.72119,0.69218,1.17115,0.99512,0.93333,0.965,0.78054,0.70775,0.51429,1.09824,0.0011486,0.0011486,0.0011486
45,2183.62,0.70318,0.7306,1.1096,0.99012,0.93333,0.99125,0.76123,0.91344,0.59375,1.39562,0.0011288,0.0011288,0.0011288
46,2234.83,0.69982,0.68966,1.10196,0.87773,1,0.97861,0.7885,0.7556,0.5352,1.20354,0.001109,0.001109,0.001109
47,2285.55,0.69071,0.70026,1.13539,0.87082,1,0.97471,0.76021,0.77455,0.56889,1.27338,0.0010892,0.0010892,0.0010892
48,2336.38,0.71944,0.69449,1.13791,0.88206,0.99732,0.97042,0.67302,0.75391,0.54526,1.22637,0.0010694,0.0010694,0.0010694
49,2386.32,0.67891,0.66737,1.11214,0.85402,0.93333,0.85903,0.55399,0.76396,0.69833,1.25671,0.0010496,0.0010496,0.0010496
50,2435.82,0.68607,0.70153,1.12656,0.8224,0.9265,0.84531,0.6573,0.70095,0.54597,1.24059,0.0010298,0.0010298,0.0010298
51,2485.4,0.67016,0.79272,1.10238,0.96724,0.8,0.94235,0.70644,0.70998,0.53848,1.22051,0.00101,0.00101,0.00101
52,2535.21,0.62561,0.65107,1.08999,0.87434,0.92808,0.96696,0.70549,0.76824,0.56425,1.33969,0.0009902,0.0009902,0.0009902
53,2584.71,0.61206,0.6663,1.06134,0.77,0.93333,0.92758,0.71553,0.72873,0.54724,1.32612,0.0009704,0.0009704,0.0009704
54,2634.2,0.65572,0.62599,1.09102,0.92837,0.86421,0.97304,0.73162,0.7169,0.56472,1.26676,0.0009506,0.0009506,0.0009506
55,2683.9,0.62235,0.62606,1.07102,0.82303,0.93333,0.95268,0.68404,0.80522,0.736,1.30353,0.0009308,0.0009308,0.0009308
56,2733.3,0.64024,0.63749,1.06811,0.93325,0.93211,0.96437,0.70347,0.75092,0.61567,1.2385,0.000911,0.000911,0.000911
57,2783.22,0.62941,0.58018,1.09834,0.86649,0.93333,0.93089,0.65317,0.76247,0.64822,1.26866,0.0008912,0.0008912,0.0008912
58,2832.42,0.64024,0.60537,1.08717,0.84619,0.8,0.82198,0.58986,0.74041,0.67736,1.32034,0.0008714,0.0008714,0.0008714
59,2881.72,0.65156,0.60232,1.11234,0.87395,0.92497,0.90764,0.66687,0.71235,0.5764,1.23191,0.0008516,0.0008516,0.0008516
60,2931.2,0.63894,0.61981,1.10573,0.92795,0.93333,0.95791,0.77726,0.65427,0.50501,1.16295,0.0008318,0.0008318,0.0008318
61,2981.13,0.59677,0.59997,1.04328,0.86649,0.93333,0.94911,0.73976,0.78136,0.62984,1.28474,0.000812,0.000812,0.000812
62,3030.45,0.60148,0.61524,1.08084,1,0.91239,0.96147,0.74586,0.69284,0.50515,1.18786,0.0007922,0.0007922,0.0007922
63,3079.86,0.61436,1.08362,1.0495,0.98969,0.93333,0.98794,0.73901,0.64676,0.47465,1.21151,0.0007724,0.0007724,0.0007724
64,3129.04,0.60277,0.58838,1.0701,0.93629,1,0.995,0.71472,0.81936,0.54837,1.36708,0.0007526,0.0007526,0.0007526
65,3178.26,0.53991,0.54582,1.04263,0.88162,0.99334,0.96527,0.70774,0.80052,0.56274,1.33216,0.0007328,0.0007328,0.0007328
66,3227.83,0.56642,0.55808,1.03418,0.93747,0.99948,0.9825,0.7516,0.76603,0.55087,1.27742,0.000713,0.000713,0.000713
